Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 24|24|Representative to the Assembly District 65|Write-In||2
City of Kenosha|Wards 24|24|District Attorney|DEM|Carli McNeill|196
City of Kenosha|Wards 24|24|District Attorney|REP|Xavier Solis|120
City of Kenosha|Wards 24|24|District Attorney|Write-In||3
City of Kenosha|Wards 24|24|County Clerk|DEM|Regi Waligora|235
City of Kenosha|Wards 24|24|County Clerk|Write-In||9
City of Kenosha|Wards 24|24|County Treasurer|DEM|Teri Jacobson|232
City of Kenosha|Wards 24|24|County Treasurer|Write-In||10
City of Kenosha|Wards 24|24|Register of Deeds|DEM|Jennifer Mack|235
City of Kenosha|Wards 24|24|Register of Deeds|Write-In||8
City of Kenosha|Wards 24|24|State Referendum|Yes||219
City of Kenosha|Wards 24|24|State Referendum|No||93
City of Kenosha|Wards 25|25|President / Vice President|DEM|Kamala D. Harris / Tim Walz|353
City of Kenosha|Wards 25|25|President / Vice President|REP|Donald J. Trump / JD Vance|280
City of Kenosha|Wards 25|25|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|6
City of Kenosha|Wards 25|25|President / Vice President|GRN|Jill Stein / Rudolph Ware|5
City of Kenosha|Wards 25|25|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 25|25|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 25|25|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 25|25|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 25|25|President / Vice President|Write-In||0
City of Kenosha|Wards 25|25|United States Senator|DEM|Tammy Baldwin|349
City of Kenosha|Wards 25|25|United States Senator|REP|Eric Hovde|264
City of Kenosha|Wards 25|25|United States Senator|DTC|Phil Anderson|13
City of Kenosha|Wards 25|25|United States Senator|AFT|Thomas Leager|10
City of Kenosha|Wards 25|25|United States Senator|Write-In||2
City of Kenosha|Wards 25|25|Representative in Congress|DEM|Peter Barca|348
City of Kenosha|Wards 25|25|Representative in Congress|REP|Bryan Steil|273
City of Kenosha|Wards 25|25|Representative in Congress|GRN|Chester Todd, Jr.|19
City of Kenosha|Wards 25|25|Representative in Congress|Write-In||1
City of Kenosha|Wards 25|25|State Senator District 22|DEM|Robert W. Wirch|458
City of Kenosha|Wards 25|25|State Senator District 22|Write-In||19
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|DEM|Ben DeSmidt|358
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|REP|Brian Gonzales|257
City of Kenosha|Wards 25|25|Representative to the Assembly District 65|Write-In||1
City of Kenosha|Wards 25|25|District Attorney|DEM|Carli McNeill|370
City of Kenosha|Wards 25|25|District Attorney|REP|Xavier Solis|254
City of Kenosha|Wards 25|25|District Attorney|Write-In||1
City of Kenosha|Wards 25|25|County Clerk|DEM|Regi Waligora|443
City of Kenosha|Wards 25|25|County Clerk|Write-In||17
City of Kenosha|Wards 25|25|County Treasurer|DEM|Teri Jacobson|446
City of Kenosha|Wards 25|25|County Treasurer|Write-In||17
City of Kenosha|Wards 25|25|Register of Deeds|DEM|Jennifer Mack|441
City of Kenosha|Wards 25|25|Register of Deeds|Write-In||18
City of Kenosha|Wards 25|25|State Referendum|Yes||400
City of Kenosha|Wards 25|25|State Referendum|No||206
City of Kenosha|Wards 26|26|President / Vice President|REP|Donald J. Trump / JD Vance|159
City of Kenosha|Wards 26|26|President / Vice President|DEM|Kamala D. Harris / Tim Walz|129
City of Kenosha|Wards 26|26|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 26|26|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|2
City of Kenosha|Wards 26|26|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 26|26|President / Vice President|CON|Randall Terry / Stephen Broden|1
City of Kenosha|Wards 26|26|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 26|26|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 26|26|President / Vice President|Write-In||0
City of Kenosha|Wards 26|26|United States Senator|REP|Eric Hovde|141
City of Kenosha|Wards 26|26|United States Senator|DEM|Tammy Baldwin|133
City of Kenosha|Wards 26|26|United States Senator|AFT|Thomas Leager|8
City of Kenosha|Wards 26|26|United States Senator|DTC|Phil Anderson|6
City of Kenosha|Wards 26|26|United States Senator|Write-In||1
City of Kenosha|Wards 26|26|Representative in Congress|REP|Bryan Steil|151
City of Kenosha|Wards 26|26|Representative in Congress|DEM|Peter Barca|125
City of Kenosha|Wards 26|26|Representative in Congress|GRN|Chester Todd, Jr.|10
City of Kenosha|Wards 26|26|Representative in Congress|Write-In||1
City of Kenosha|Wards 26|26|State Senator District 22|DEM|Robert W. Wirch|196
City of Kenosha|Wards 26|26|State Senator District 22|Write-In||13
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|REP|Brian Gonzales|143
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|DEM|Ben DeSmidt|136
City of Kenosha|Wards 26|26|Representative to the Assembly District 65|Write-In||2
City of Kenosha|Wards 26|26|District Attorney|REP|Xavier Solis|147
City of Kenosha|Wards 26|26|District Attorney|DEM|Carli McNeill|137
City of Kenosha|Wards 26|26|District Attorney|Write-In||1
City of Kenosha|Wards 26|26|County Clerk|DEM|Regi Waligora|189
City of Kenosha|Wards 26|26|County Clerk|Write-In||13
City of Kenosha|Wards 26|26|County Treasurer|DEM|Teri Jacobson|195
City of Kenosha|Wards 26|26|County Treasurer|Write-In||13
City of Kenosha|Wards 26|26|Register of Deeds|DEM|Jennifer Mack|190
City of Kenosha|Wards 26|26|Register of Deeds|Write-In||11
City of Kenosha|Wards 26|26|State Referendum|Yes||205
City of Kenosha|Wards 26|26|State Referendum|No||78
City of Kenosha|Wards 27|27|President / Vice President|DEM|Kamala D. Harris / Tim Walz|89
City of Kenosha|Wards 27|27|President / Vice President|REP|Donald J. Trump / JD Vance|38
City of Kenosha|Wards 27|27|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 27|27|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 27|27|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 27|27|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 27|27|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 27|27|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 27|27|President / Vice President|Write-In||0
City of Kenosha|Wards 27|27|United States Senator|DEM|Tammy Baldwin|81
City of Kenosha|Wards 27|27|United States Senator|REP|Eric Hovde|33
City of Kenosha|Wards 27|27|United States Senator|DTC|Phil Anderson|7
City of Kenosha|Wards 27|27|United States Senator|AFT|Thomas Leager|7
City of Kenosha|Wards 27|27|United States Senator|Write-In||1
City of Kenosha|Wards 27|27|Representative in Congress|DEM|Peter Barca|81
City of Kenosha|Wards 27|27|Representative in Congress|REP|Bryan Steil|38
City of Kenosha|Wards 27|27|Representative in Congress|GRN|Chester Todd, Jr.|9
City of Kenosha|Wards 27|27|Representative in Congress|Write-In||1
City of Kenosha|Wards 27|27|State Senator District 22|DEM|Robert W. Wirch|113
City of Kenosha|Wards 27|27|State Senator District 22|Write-In||2
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|DEM|Ben DeSmidt|77
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|REP|Brian Gonzales|45
City of Kenosha|Wards 27|27|Representative to the Assembly District 65|Write-In||2
City of Kenosha|Wards 27|27|District Attorney|DEM|Carli McNeill|80
City of Kenosha|Wards 27|27|District Attorney|REP|Xavier Solis|42
City of Kenosha|Wards 27|27|District Attorney|Write-In||2
City of Kenosha|Wards 27|27|County Clerk|DEM|Regi Waligora|109
City of Kenosha|Wards 27|27|County Clerk|Write-In||3
City of Kenosha|Wards 27|27|County Treasurer|DEM|Teri Jacobson|108
City of Kenosha|Wards 27|27|County Treasurer|Write-In||3
City of Kenosha|Wards 27|27|Register of Deeds|DEM|Jennifer Mack|106
City of Kenosha|Wards 27|27|Register of Deeds|Write-In||3
City of Kenosha|Wards 27|27|State Referendum|Yes||95
City of Kenosha|Wards 27|27|State Referendum|No||30
City of Kenosha|Wards 28|28|President / Vice President|DEM|Kamala D. Harris / Tim Walz|164
City of Kenosha|Wards 28|28|President / Vice President|REP|Donald J. Trump / JD Vance|78
City of Kenosha|Wards 28|28|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 28|28|President / Vice President|JFA|Cornel West / Melina Abdullah|2
City of Kenosha|Wards 28|28|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|0
City of Kenosha|Wards 28|28|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 28|28|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 28|28|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
