Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
City of Kenosha|Wards 2|2|REP County Treasurer|Write-In|1
City of Kenosha|Wards 2|2|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 2|2|CON United States Senator|Write-In|0
City of Kenosha|Wards 2|2|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 2|2|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 2|2|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 2|2|CON District Attorney|Write-In|0
City of Kenosha|Wards 2|2|CON County Clerk|Write-In|0
City of Kenosha|Wards 2|2|CON County Treasurer|Write-In|0
City of Kenosha|Wards 2|2|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 2|2|LIB United States Senator|Write-In|0
City of Kenosha|Wards 2|2|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 2|2|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 2|2|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 2|2|LIB District Attorney|Write-In|0
City of Kenosha|Wards 2|2|LIB County Clerk|Write-In|0
City of Kenosha|Wards 2|2|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 2|2|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 2|2|GRN United States Senator|Write-In|0
City of Kenosha|Wards 2|2|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 2|2|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 2|2|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 2|2|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 2|2|GRN District Attorney|Write-In|0
City of Kenosha|Wards 2|2|GRN County Clerk|Write-In|0
City of Kenosha|Wards 2|2|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 2|2|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 2|2|State Referendum - Question 1|No|172
City of Kenosha|Wards 2|2|State Referendum - Question 1|Yes|102
City of Kenosha|Wards 2|2|State Referendum - Question 2|No|184
City of Kenosha|Wards 2|2|State Referendum - Question 2|Yes|97
City of Kenosha|Wards 3|3|Party Preference Section|Democratic|122
City of Kenosha|Wards 3|3|Party Preference Section|Republican|59
City of Kenosha|Wards 3|3|Party Preference Section|Constitution|0
City of Kenosha|Wards 3|3|Party Preference Section|Libertarian|0
City of Kenosha|Wards 3|3|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 3|3|DEM United States Senator|Tammy Baldwin|122
City of Kenosha|Wards 3|3|DEM United States Senator|Write-In|0
City of Kenosha|Wards 3|3|DEM Representative in Congress|Peter Barca|119
City of Kenosha|Wards 3|3|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 3|3|DEM State Senator District 22|Robert W. Wirch|119
City of Kenosha|Wards 3|3|DEM State Senator District 22|Write-In|1
City of Kenosha|Wards 3|3|DEM Representative to the Assembly District 64|Tip McGuire|120
City of Kenosha|Wards 3|3|DEM Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 3|3|DEM District Attorney|Carli McNeill|117
City of Kenosha|Wards 3|3|DEM District Attorney|Write-In|2
City of Kenosha|Wards 3|3|DEM County Clerk|Regi Waligora|120
City of Kenosha|Wards 3|3|DEM County Clerk|Write-In|1
City of Kenosha|Wards 3|3|DEM County Treasurer|Teri Jacobson|121
City of Kenosha|Wards 3|3|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 3|3|DEM Register of Deeds|Jennifer Mack|118
City of Kenosha|Wards 3|3|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 3|3|REP United States Senator|Eric Hovde|48
City of Kenosha|Wards 3|3|REP United States Senator|Charles E. Barman|8
City of Kenosha|Wards 3|3|REP United States Senator|Rejani Raveendran|2
City of Kenosha|Wards 3|3|REP United States Senator|Write-In|0
City of Kenosha|Wards 3|3|REP Representative in Congress|Bryan Steil|56
City of Kenosha|Wards 3|3|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 3|3|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 3|3|REP Representative to the Assembly District 64|Ed Hibsch|55
City of Kenosha|Wards 3|3|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 3|3|REP District Attorney|Xavier Solis|53
City of Kenosha|Wards 3|3|REP District Attorney|Write-In|0
City of Kenosha|Wards 3|3|REP County Clerk|Write-In|0
City of Kenosha|Wards 3|3|REP County Treasurer|Write-In|0
City of Kenosha|Wards 3|3|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 3|3|CON United States Senator|Write-In|0
City of Kenosha|Wards 3|3|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 3|3|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 3|3|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 3|3|CON District Attorney|Write-In|0
City of Kenosha|Wards 3|3|CON County Clerk|Write-In|0
City of Kenosha|Wards 3|3|CON County Treasurer|Write-In|0
City of Kenosha|Wards 3|3|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 3|3|LIB United States Senator|Write-In|0
City of Kenosha|Wards 3|3|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 3|3|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 3|3|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 3|3|LIB District Attorney|Write-In|0
City of Kenosha|Wards 3|3|LIB County Clerk|Write-In|0
City of Kenosha|Wards 3|3|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 3|3|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 3|3|GRN United States Senator|Write-In|0
City of Kenosha|Wards 3|3|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 3|3|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 3|3|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 3|3|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 3|3|GRN District Attorney|Write-In|0
City of Kenosha|Wards 3|3|GRN County Clerk|Write-In|0
City of Kenosha|Wards 3|3|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 3|3|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 3|3|State Referendum - Question 1|No|113
City of Kenosha|Wards 3|3|State Referendum - Question 1|Yes|61
City of Kenosha|Wards 3|3|State Referendum - Question 2|No|117
City of Kenosha|Wards 3|3|State Referendum - Question 2|Yes|60
City of Kenosha|Wards 4|4|Party Preference Section|Democratic|44
City of Kenosha|Wards 4|4|Party Preference Section|Republican|29
City of Kenosha|Wards 4|4|Party Preference Section|Constitution|0
City of Kenosha|Wards 4|4|Party Preference Section|Libertarian|0
City of Kenosha|Wards 4|4|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 4|4|DEM United States Senator|Tammy Baldwin|46
City of Kenosha|Wards 4|4|DEM United States Senator|Write-In|0
City of Kenosha|Wards 4|4|DEM Representative in Congress|Peter Barca|46
City of Kenosha|Wards 4|4|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 4|4|DEM State Senator District 22|Robert W. Wirch|47
City of Kenosha|Wards 4|4|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 4|4|DEM Representative to the Assembly District 64|Tip McGuire|45
City of Kenosha|Wards 4|4|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 4|4|DEM District Attorney|Carli McNeill|44
City of Kenosha|Wards 4|4|DEM District Attorney|Write-In|0
City of Kenosha|Wards 4|4|DEM County Clerk|Regi Waligora|43
City of Kenosha|Wards 4|4|DEM County Clerk|Write-In|0
City of Kenosha|Wards 4|4|DEM County Treasurer|Teri Jacobson|43
City of Kenosha|Wards 4|4|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 4|4|DEM Register of Deeds|Jennifer Mack|41
City of Kenosha|Wards 4|4|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 4|4|REP United States Senator|Eric Hovde|31
City of Kenosha|Wards 4|4|REP United States Senator|Charles E. Barman|1
City of Kenosha|Wards 4|4|REP United States Senator|Rejani Raveendran|1
City of Kenosha|Wards 4|4|REP United States Senator|Write-In|0
City of Kenosha|Wards 4|4|REP Representative in Congress|Bryan Steil|32
City of Kenosha|Wards 4|4|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 4|4|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 4|4|REP Representative to the Assembly District 64|Ed Hibsch|30
City of Kenosha|Wards 4|4|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 4|4|REP District Attorney|Xavier Solis|28
City of Kenosha|Wards 4|4|REP District Attorney|Write-In|0
City of Kenosha|Wards 4|4|REP County Clerk|Write-In|1
City of Kenosha|Wards 4|4|REP County Treasurer|Write-In|1
City of Kenosha|Wards 4|4|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 4|4|CON United States Senator|Write-In|0
City of Kenosha|Wards 4|4|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 4|4|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 4|4|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 4|4|CON District Attorney|Write-In|0
City of Kenosha|Wards 4|4|CON County Clerk|Write-In|0
City of Kenosha|Wards 4|4|CON County Treasurer|Write-In|0
City of Kenosha|Wards 4|4|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 4|4|LIB United States Senator|Write-In|0
City of Kenosha|Wards 4|4|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 4|4|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 4|4|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 4|4|LIB District Attorney|Write-In|0
City of Kenosha|Wards 4|4|LIB County Clerk|Write-In|0
City of Kenosha|Wards 4|4|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 4|4|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 4|4|GRN United States Senator|Write-In|0
City of Kenosha|Wards 4|4|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 4|4|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 4|4|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 4|4|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 4|4|GRN District Attorney|Write-In|0
City of Kenosha|Wards 4|4|GRN County Clerk|Write-In|0
City of Kenosha|Wards 4|4|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 4|4|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 4|4|State Referendum - Question 1|No|43
City of Kenosha|Wards 4|4|State Referendum - Question 1|Yes|36
City of Kenosha|Wards 4|4|State Referendum - Question 2|No|46
City of Kenosha|Wards 4|4|State Referendum - Question 2|Yes|33
City of Kenosha|Wards 5|5|Party Preference Section|Democratic|72
City of Kenosha|Wards 5|5|Party Preference Section|Republican|37
City of Kenosha|Wards 5|5|Party Preference Section|Constitution|0
City of Kenosha|Wards 5|5|Party Preference Section|Libertarian|0
City of Kenosha|Wards 5|5|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 5|5|DEM United States Senator|Tammy Baldwin|73
City of Kenosha|Wards 5|5|DEM United States Senator|Write-In|0
City of Kenosha|Wards 5|5|DEM Representative in Congress|Peter Barca|76
City of Kenosha|Wards 5|5|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 5|5|DEM State Senator District 22|Robert W. Wirch|76
City of Kenosha|Wards 5|5|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 5|5|DEM Representative to the Assembly District 64|Tip McGuire|74
City of Kenosha|Wards 5|5|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 5|5|DEM District Attorney|Carli McNeill|75
City of Kenosha|Wards 5|5|DEM District Attorney|Write-In|0
City of Kenosha|Wards 5|5|DEM County Clerk|Regi Waligora|73
City of Kenosha|Wards 5|5|DEM County Clerk|Write-In|0
City of Kenosha|Wards 5|5|DEM County Treasurer|Teri Jacobson|74
City of Kenosha|Wards 5|5|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 5|5|DEM Register of Deeds|Jennifer Mack|70
City of Kenosha|Wards 5|5|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 5|5|REP United States Senator|Eric Hovde|29
City of Kenosha|Wards 5|5|REP United States Senator|Charles E. Barman|7
City of Kenosha|Wards 5|5|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 5|5|REP United States Senator|Write-In|0
City of Kenosha|Wards 5|5|REP Representative in Congress|Bryan Steil|36
City of Kenosha|Wards 5|5|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 5|5|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 5|5|REP Representative to the Assembly District 64|Ed Hibsch|34
City of Kenosha|Wards 5|5|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 5|5|REP District Attorney|Xavier Solis|31
City of Kenosha|Wards 5|5|REP District Attorney|Write-In|0
City of Kenosha|Wards 5|5|REP County Clerk|Write-In|1
City of Kenosha|Wards 5|5|REP County Treasurer|Write-In|1
City of Kenosha|Wards 5|5|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 5|5|CON United States Senator|Write-In|0
City of Kenosha|Wards 5|5|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 5|5|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 5|5|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 5|5|CON District Attorney|Write-In|0
City of Kenosha|Wards 5|5|CON County Clerk|Write-In|0
City of Kenosha|Wards 5|5|CON County Treasurer|Write-In|0
City of Kenosha|Wards 5|5|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 5|5|LIB United States Senator|Write-In|0
City of Kenosha|Wards 5|5|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 5|5|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 5|5|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 5|5|LIB District Attorney|Write-In|0
City of Kenosha|Wards 5|5|LIB County Clerk|Write-In|0
City of Kenosha|Wards 5|5|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 5|5|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 5|5|GRN United States Senator|Write-In|0
City of Kenosha|Wards 5|5|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 5|5|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 5|5|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 5|5|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 5|5|GRN District Attorney|Write-In|0
City of Kenosha|Wards 5|5|GRN County Clerk|Write-In|0
City of Kenosha|Wards 5|5|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 5|5|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 5|5|State Referendum - Question 1|No|66
City of Kenosha|Wards 5|5|State Referendum - Question 1|Yes|42
City of Kenosha|Wards 5|5|State Referendum - Question 2|No|67
City of Kenosha|Wards 5|5|State Referendum - Question 2|Yes|39
City of Kenosha|Wards 6|6|Party Preference Section|Democratic|213
City of Kenosha|Wards 6|6|Party Preference Section|Republican|86
City of Kenosha|Wards 6|6|Party Preference Section|Wisconsin Green|3
City of Kenosha|Wards 6|6|Party Preference Section|Constitution|1
City of Kenosha|Wards 6|6|Party Preference Section|Libertarian|0
City of Kenosha|Wards 6|6|DEM United States Senator|Tammy Baldwin|210
City of Kenosha|Wards 6|6|DEM United States Senator|Write-In|0
City of Kenosha|Wards 6|6|DEM Representative in Congress|Peter Barca|205
City of Kenosha|Wards 6|6|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 6|6|DEM State Senator District 22|Robert W. Wirch|205
City of Kenosha|Wards 6|6|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 6|6|DEM Representative to the Assembly District 64|Tip McGuire|201
City of Kenosha|Wards 6|6|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 6|6|DEM District Attorney|Carli McNeill|198
City of Kenosha|Wards 6|6|DEM District Attorney|Write-In|0
City of Kenosha|Wards 6|6|DEM County Clerk|Regi Waligora|188
City of Kenosha|Wards 6|6|DEM County Clerk|Write-In|0
City of Kenosha|Wards 6|6|DEM County Treasurer|Teri Jacobson|189
City of Kenosha|Wards 6|6|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 6|6|DEM Register of Deeds|Jennifer Mack|186
City of Kenosha|Wards 6|6|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 6|6|REP United States Senator|Eric Hovde|83
City of Kenosha|Wards 6|6|REP United States Senator|Charles E. Barman|6
City of Kenosha|Wards 6|6|REP United States Senator|Rejani Raveendran|4
City of Kenosha|Wards 6|6|REP United States Senator|Write-In|0
City of Kenosha|Wards 6|6|REP Representative in Congress|Bryan Steil|85
City of Kenosha|Wards 6|6|REP Representative in Congress|Write-In|1
City of Kenosha|Wards 6|6|REP State Senator District 22|Write-In|4
City of Kenosha|Wards 6|6|REP Representative to the Assembly District 64|Ed Hibsch|75
City of Kenosha|Wards 6|6|REP Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 6|6|REP District Attorney|Xavier Solis|69
City of Kenosha|Wards 6|6|REP District Attorney|Write-In|1
City of Kenosha|Wards 6|6|REP County Clerk|Write-In|4
City of Kenosha|Wards 6|6|REP County Treasurer|Write-In|4
City of Kenosha|Wards 6|6|REP Register of Deeds|Write-In|4
City of Kenosha|Wards 6|6|CON United States Senator|Write-In|0
City of Kenosha|Wards 6|6|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 6|6|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 6|6|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 6|6|CON District Attorney|Write-In|0
City of Kenosha|Wards 6|6|CON County Clerk|Write-In|0
City of Kenosha|Wards 6|6|CON County Treasurer|Write-In|0
City of Kenosha|Wards 6|6|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 6|6|LIB United States Senator|Write-In|0
City of Kenosha|Wards 6|6|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 6|6|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 6|6|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 6|6|LIB District Attorney|Write-In|0
City of Kenosha|Wards 6|6|LIB County Clerk|Write-In|0
City of Kenosha|Wards 6|6|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 6|6|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 6|6|GRN United States Senator|Write-In|1
City of Kenosha|Wards 6|6|GRN Representative in Congress|Chester Todd, Jr.|3
City of Kenosha|Wards 6|6|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 6|6|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 6|6|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 6|6|GRN District Attorney|Write-In|0
City of Kenosha|Wards 6|6|GRN County Clerk|Write-In|0
City of Kenosha|Wards 6|6|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 6|6|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 6|6|State Referendum - Question 1|No|203
City of Kenosha|Wards 6|6|State Referendum - Question 1|Yes|89
City of Kenosha|Wards 6|6|State Referendum - Question 2|No|201
City of Kenosha|Wards 6|6|State Referendum - Question 2|Yes|88
City of Kenosha|Wards 7|7|Party Preference Section|Democratic|120
City of Kenosha|Wards 7|7|Party Preference Section|Republican|38
City of Kenosha|Wards 7|7|Party Preference Section|Libertarian|2
City of Kenosha|Wards 7|7|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 7|7|Party Preference Section|Constitution|0
City of Kenosha|Wards 7|7|DEM United States Senator|Tammy Baldwin|123
City of Kenosha|Wards 7|7|DEM United States Senator|Write-In|0
City of Kenosha|Wards 7|7|DEM Representative in Congress|Peter Barca|120
City of Kenosha|Wards 7|7|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 7|7|DEM State Senator District 22|Robert W. Wirch|120
City of Kenosha|Wards 7|7|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 7|7|DEM Representative to the Assembly District 64|Tip McGuire|114
City of Kenosha|Wards 7|7|DEM Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 7|7|DEM District Attorney|Carli McNeill|115
City of Kenosha|Wards 7|7|DEM District Attorney|Write-In|0
City of Kenosha|Wards 7|7|DEM County Clerk|Regi Waligora|115
City of Kenosha|Wards 7|7|DEM County Clerk|Write-In|0
City of Kenosha|Wards 7|7|DEM County Treasurer|Teri Jacobson|113
City of Kenosha|Wards 7|7|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 7|7|DEM Register of Deeds|Jennifer Mack|113
City of Kenosha|Wards 7|7|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 7|7|REP United States Senator|Eric Hovde|37
City of Kenosha|Wards 7|7|REP United States Senator|Charles E. Barman|2
City of Kenosha|Wards 7|7|REP United States Senator|Rejani Raveendran|2
City of Kenosha|Wards 7|7|REP United States Senator|Write-In|0
